Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.61     0.00   138331     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.00      0.61     0.00   138331     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.00      0.61     0.00   124814     0.00     0.00  void std::swap<std::_Bit_iterator>(std::_Bit_iterator&, std::_Bit_iterator&)
  0.00      0.61     0.00   124431     0.00     0.00  std::_Iter_base<unsigned long*, false>::_S_base(unsigned long*)
  0.00      0.61     0.00   122876     0.00     0.00  std::remove_reference<std::allocator<unsigned long>&>::type&& std::move<std::allocator<unsigned long>&>(std::allocator<unsigned long>&)
  0.00      0.61     0.00   121445     0.00     0.00  std::remove_reference<(anonymous namespace)::Item&>::type&& std::move<(anonymous namespace)::Item&>((anonymous namespace)::Item&)
  0.00      0.61     0.00   111384     0.00     0.00  std::remove_reference<std::vector<char, std::allocator<char> >&>::type&& std::move<std::vector<char, std::allocator<char> >&>(std::vector<char, std::allocator<char> >&)
  0.00      0.61     0.00    99462     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.00      0.61     0.00    99436     0.00     0.00  std::_Iter_base<std::_Bit_const_iterator, false>::_S_base(std::_Bit_const_iterator)
  0.00      0.61     0.00    98825     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      0.61     0.00    98825     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      0.61     0.00    93795     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.61     0.00    89351     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char> const&)
  0.00      0.61     0.00    87262     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator() const
  0.00      0.61     0.00    82089     0.00     0.00  Cell::Rotate(Cell const&, int) const
  0.00      0.61     0.00    78914     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      0.61     0.00    74713     0.00     0.00  std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)
  0.00      0.61     0.00    73907     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00      0.61     0.00    73903     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00      0.61     0.00    73903     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
  0.00      0.61     0.00    73903     0.00     0.00  std::vector<bool, std::allocator<bool> >::~vector()
  0.00      0.61     0.00    73899     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator(__gnu_cxx::new_allocator<unsigned long> const&)
  0.00      0.61     0.00    73899     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00      0.61     0.00    73835     0.00     0.00  State::~State()
  0.00      0.61     0.00    64493     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(std::allocator<char> const&)
  0.00      0.61     0.00    62411     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.61     0.00    62407     0.00     0.00  (anonymous namespace)::Item::operator=((anonymous namespace)::Item&&)
  0.00      0.61     0.00    62407     0.00     0.00  State::operator=(State&&)
  0.00      0.61     0.00    62407     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<char> >::_S_propagate_on_move_assign()
  0.00      0.61     0.00    62407     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::get_allocator() const
  0.00      0.61     0.00    62407     0.00     0.00  std::__alloc_swap<std::allocator<unsigned long>, true>::_S_do_it(std::allocator<unsigned long>&, std::allocator<unsigned long>&)
  0.00      0.61     0.00    62407     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_erase_at_end(std::_Bit_iterator)
  0.00      0.61     0.00    62407     0.00     0.00  std::vector<bool, std::allocator<bool> >::swap(std::vector<bool, std::allocator<bool> >&)
  0.00      0.61     0.00    62407     0.00     0.00  std::vector<bool, std::allocator<bool> >::clear()
  0.00      0.61     0.00    62407     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator=(std::vector<bool, std::allocator<bool> >&&)
  0.00      0.61     0.00    62407     0.00     0.00  std::vector<char, std::allocator<char> >::_M_move_assign(std::vector<char, std::allocator<char> >&&, std::integral_constant<bool, true>)
  0.00      0.61     0.00    62407     0.00     0.00  std::vector<char, std::allocator<char> >::vector(std::allocator<char> const&)
  0.00      0.61     0.00    62407     0.00     0.00  std::vector<char, std::allocator<char> >::operator=(std::vector<char, std::allocator<char> >&&)
  0.00      0.61     0.00    62407     0.00     0.00  void std::__alloc_on_move<std::allocator<char> >(std::allocator<char>&, std::allocator<char>&)
  0.00      0.61     0.00    62407     0.00     0.00  void std::__do_alloc_on_move<std::allocator<char> >(std::allocator<char>&, std::allocator<char>&, std::integral_constant<bool, true>)
  0.00      0.61     0.00    62407     0.00     0.00  void std::swap<unsigned long*>(unsigned long*&, unsigned long*&)
  0.00      0.61     0.00    61316     0.00     0.00  (anonymous namespace)::Item::~Item()
  0.00      0.61     0.00    58134     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.61     0.00    55115     0.00     0.00  (anonymous namespace)::Item::operator<((anonymous namespace)::Item const&) const
  0.00      0.61     0.00    55115     0.00     0.00  std::less<(anonymous namespace)::Item>::operator()((anonymous namespace)::Item const&, (anonymous namespace)::Item const&) const
  0.00      0.61     0.00    53882     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
